#SATVeg,,,
Polígono:,"-42,88771","-4,84377",
Município:,UNIÃO | PIAUÍ | BRA,,
Data,NDVI,Média - Desvio Padrão,Média + Desvio Padrão
02/02/2005,"0,6505","0,6089","0,6921"
18/02/2005,"0,5164","0,3264","0,7065"
06/03/2005,"0,6675","0,5251","0,81"
22/03/2005,"0,611","0,46","0,762"
07/04/2005,"0,7773","0,7483","0,8062"
23/04/2005,"0,7652","0,7419","0,7884"
09/05/2005,"0,7705","0,7448","0,7962"
25/05/2005,"0,7273","0,7043","0,7503"
10/06/2005,"0,7575","0,7294","0,7857"
26/06/2005,"0,6951","0,6555","0,7348"
12/07/2005,"0,6563","0,6162","0,6964"
28/07/2005,"0,5909","0,5538","0,628"
13/08/2005,"0,5209","0,4708","0,5709"
29/08/2005,"0,5001","0,4531","0,5471"
14/09/2005,"0,4237","0,3552","0,4921"
30/09/2005,"0,3634","0,2917","0,4352"
16/10/2005,"0,3366","0,279","0,3941"
01/11/2005,"0,3574","0,3144","0,4004"
17/11/2005,"0,2946","0,249","0,3403"
03/12/2005,"0,3631","0,2936","0,4327"
19/12/2005,"0,3869","0,324","0,4499"
01/01/2006,"0,4198","0,2967","0,543"
17/01/2006,"0,5621","0,4573","0,6669"
02/02/2006,"0,6458","0,5766","0,7151"
18/02/2006,"0,6569","0,5944","0,7193"
06/03/2006,"0,4976","0,3209","0,6743"
22/03/2006,"0,5814","0,3475","0,8153"
07/04/2006,"0,4702","0,2948","0,6456"
23/04/2006,"0,6892","0,6438","0,7347"
09/05/2006,"0,7534","0,7066","0,8001"
25/05/2006,"0,7344","0,6968","0,772"
10/06/2006,"0,7084","0,6451","0,7716"
26/06/2006,"0,6555","0,6136","0,6975"
12/07/2006,"0,6551","0,6179","0,6922"
28/07/2006,"0,6224","0,5898","0,6551"
13/08/2006,"0,6167","0,588","0,6453"
29/08/2006,"0,5711","0,5389","0,6034"
14/09/2006,"0,5687","0,5249","0,6125"
30/09/2006,"0,4701","0,3565","0,5837"
16/10/2006,"0,4659","0,3906","0,5412"
01/11/2006,"0,46","0,3853","0,5347"
17/11/2006,"0,3262","0,2447","0,4078"
03/12/2006,"0,3378","0,2747","0,401"
19/12/2006,"0,4476","0,3696","0,5257"
01/01/2007,"0,5392","0,4875","0,5909"
17/01/2007,"0,4913","0,4454","0,5372"
02/02/2007,"0,6012","0,5642","0,6383"
18/02/2007,"0,583","0,4934","0,6727"
06/03/2007,"0,6383","0,5083","0,7683"
22/03/2007,"0,6305","0,4998","0,7613"
07/04/2007,"0,5986","0,4583","0,7388"
23/04/2007,"0,7832","0,7485","0,8179"
09/05/2007,"0,778","0,7464","0,8096"
25/05/2007,"0,7818","0,7567","0,807"
10/06/2007,"0,6912","0,6496","0,7329"
26/06/2007,"0,6128","0,5501","0,6755"
12/07/2007,"0,6352","0,6043","0,6662"
28/07/2007,"0,554","0,5174","0,5907"
13/08/2007,"0,3454","0,2284","0,4624"
29/08/2007,"0,343","0,2471","0,4389"
14/09/2007,"0,3437","0,2714","0,4161"
30/09/2007,"0,3749","0,3099","0,44"
16/10/2007,"0,3782","0,2815","0,475"
01/11/2007,"0,2777","0,219","0,3364"
17/11/2007,"0,3282","0,2999","0,3566"
03/12/2007,"0,4237","0,2991","0,5483"
19/12/2007,"0,6088","0,5611","0,6565"
01/01/2008,"0,6088","0,5611","0,6565"
17/01/2008,"0,4099","0,22","0,5998"
02/02/2008,"0,7092","0,6659","0,7524"
18/02/2008,"0,5179","0,3529","0,6829"
05/03/2008,"0,8118","0,7693","0,8543"
21/03/2008,"0,3896","0,2356","0,5436"
06/04/2008,"0,7794","0,7117","0,8471"
22/04/2008,"0,7675","0,7005","0,8345"
08/05/2008,"0,7767","0,7214","0,832"
24/05/2008,"0,7409","0,6777","0,8041"
09/06/2008,"0,7163","0,693","0,7396"
25/06/2008,"0,6871","0,6475","0,7267"
11/07/2008,"0,6344","0,5793","0,6896"
27/07/2008,"0,6165","0,5545","0,6785"
12/08/2008,"0,4289","0,3158","0,542"
28/08/2008,"0,4207","0,3024","0,5389"
13/09/2008,"0,4026","0,3218","0,4834"
29/09/2008,"0,4077","0,3465","0,4689"
15/10/2008,"0,3621","0,307","0,4173"
31/10/2008,"0,3141","0,2705","0,3576"
16/11/2008,"0,3102","0,2666","0,3537"
02/12/2008,"0,4506","0,3877","0,5135"
18/12/2008,"0,3403","0,2209","0,4597"
01/01/2009,"0,5772","0,476","0,6783"
17/01/2009,"0,707","0,6726","0,7413"
02/02/2009,"0,7071","0,5666","0,8475"
18/02/2009,"0,5629","0,4344","0,6914"
06/03/2009,"0,4204","0,1942","0,6466"
22/03/2009,"0,581","0,4364","0,7255"
07/04/2009,"0,4694","0,2595","0,6794"
23/04/2009,"0,6007","0,4814","0,72"
09/05/2009,"0,6684","0,5057","0,8311"
25/05/2009,"0,7162","0,6319","0,8006"
10/06/2009,"0,7118","0,6836","0,7401"
26/06/2009,"0,7008","0,6833","0,7183"
12/07/2009,"0,6795","0,6462","0,7129"
28/07/2009,"0,6274","0,5968","0,658"
13/08/2009,"0,492","0,3716","0,6124"
29/08/2009,"0,3847","0,2618","0,5076"
14/09/2009,"0,4036","0,2916","0,5157"
30/09/2009,"0,3636","0,2912","0,436"
16/10/2009,"0,3044","0,2444","0,3643"
01/11/2009,"0,3131","0,2617","0,3645"
17/11/2009,"0,3318","0,2906","0,3729"
03/12/2009,"0,3748","0,3277","0,4219"
19/12/2009,"0,3801","0,3327","0,4276"
01/01/2010,"0,5348","0,5002","0,5693"
17/01/2010,"0,507","0,335","0,6789"
02/02/2010,"0,6585","0,6245","0,6925"
18/02/2010,"0,6635","0,6142","0,7127"
06/03/2010,"0,6723","0,6137","0,731"
22/03/2010,"0,6343","0,4823","0,7862"
07/04/2010,"0,6415","0,536","0,7471"
23/04/2010,"0,6924","0,6392","0,7457"
09/05/2010,"0,7803","0,7632","0,7974"
25/05/2010,"0,6811","0,6127","0,7494"
10/06/2010,"0,6941","0,6289","0,7593"
26/06/2010,"0,6594","0,6138","0,7049"
12/07/2010,"0,6095","0,5459","0,673"
28/07/2010,"0,5633","0,5068","0,6197"
13/08/2010,"0,4737","0,4386","0,5088"
29/08/2010,"0,3363","0,2327","0,44"
14/09/2010,"0,3359","0,245","0,4268"
30/09/2010,"0,3488","0,2837","0,4139"
16/10/2010,"0,27","0,2287","0,3112"
01/11/2010,"0,3138","0,2647","0,3628"
17/11/2010,"0,447","0,3879","0,506"
03/12/2010,"0,4216","0,3558","0,4873"
19/12/2010,"0,5454","0,4892","0,6015"
01/01/2011,"0,6414","0,5893","0,6934"
17/01/2011,"0,5903","0,4349","0,7457"
02/02/2011,"0,6261","0,466","0,7863"
18/02/2011,"0,7408","0,6799","0,8016"
06/03/2011,"0,6991","0,5769","0,8213"
22/03/2011,"0,6295","0,4831","0,7759"
07/04/2011,"0,587","0,4601","0,714"
23/04/2011,"0,7261","0,6979","0,7543"
09/05/2011,"0,734","0,7055","0,7626"
25/05/2011,"0,7602","0,7384","0,782"
10/06/2011,"0,7033","0,6778","0,7288"
26/06/2011,"0,6621","0,6209","0,7032"
12/07/2011,"0,6289","0,5836","0,6741"
28/07/2011,"0,5927","0,5243","0,661"
13/08/2011,"0,5468","0,4776","0,616"
29/08/2011,"0,5234","0,4817","0,5652"
14/09/2011,"0,3293","0,2134","0,4452"
30/09/2011,"0,3599","0,2656","0,4542"
16/10/2011,"0,4553","0,3735","0,5371"
01/11/2011,"0,3366","0,2327","0,4405"
17/11/2011,"0,4195","0,3124","0,5265"
03/12/2011,"0,4356","0,3425","0,5288"
19/12/2011,"0,448","0,3678","0,5283"
01/01/2012,"0,4949","0,3793","0,6105"
17/01/2012,"0,4656","0,313","0,6182"
02/02/2012,"0,5812","0,504","0,6584"
18/02/2012,"0,597","0,5196","0,6745"
05/03/2012,"0,6115","0,4624","0,7606"
21/03/2012,"0,5201","0,437","0,6032"
06/04/2012,"0,6376","0,5599","0,7153"
22/04/2012,"0,7444","0,7063","0,7824"
08/05/2012,"0,7085","0,6827","0,7343"
24/05/2012,"0,7304","0,7031","0,7576"
09/06/2012,"0,6293","0,5225","0,736"
25/06/2012,"0,6879","0,6617","0,7142"
11/07/2012,"0,5777","0,503","0,6524"
27/07/2012,"0,5327","0,4444","0,6211"
12/08/2012,"0,4872","0,3972","0,5773"
28/08/2012,"0,3967","0,2833","0,5102"
13/09/2012,"0,36","0,2728","0,4472"
29/09/2012,"0,3219","0,2379","0,4059"
15/10/2012,"0,343","0,278","0,408"
31/10/2012,"0,3414","0,2822","0,4005"
16/11/2012,"0,2579","0,2213","0,2946"
02/12/2012,"0,3623","0,3152","0,4093"
18/12/2012,"0,4141","0,3058","0,5225"
01/01/2013,"0,5007","0,4126","0,5888"
17/01/2013,"0,5735","0,5091","0,6378"
02/02/2013,"0,4733","0,3891","0,5574"
18/02/2013,"0,648","0,6092","0,6868"
06/03/2013,"0,5869","0,5201","0,6537"
22/03/2013,"0,5815","0,4619","0,7012"
07/04/2013,"0,7567","0,7247","0,7886"
23/04/2013,"0,6593","0,5662","0,7525"
09/05/2013,"0,6864","0,6558","0,717"
25/05/2013,"0,7051","0,6476","0,7627"
10/06/2013,"0,6841","0,6325","0,7358"
26/06/2013,"0,6838","0,6432","0,7245"
12/07/2013,"0,5339","0,3986","0,6692"
28/07/2013,"0,3976","0,2747","0,5204"
13/08/2013,"0,2809","0,2139","0,3478"
29/08/2013,"0,2994","0,2592","0,3395"
14/09/2013,"0,2714","0,2329","0,3099"
30/09/2013,"0,2741","0,2386","0,3096"
16/10/2013,"0,2712","0,2373","0,3051"
01/11/2013,"0,3674","0,325","0,4097"
17/11/2013,"0,3565","0,2929","0,4202"
03/12/2013,"0,4327","0,3782","0,4872"
19/12/2013,"0,4409","0,3677","0,514"
01/01/2014,"0,4688","0,4002","0,5375"
17/01/2014,"0,5152","0,4376","0,5928"
02/02/2014,"0,2694","0,1903","0,3484"
18/02/2014,"0,4628","0,3794","0,5463"
06/03/2014,"0,5006","0,383","0,6182"
22/03/2014,"0,6159","0,518","0,7138"
07/04/2014,"0,6685","0,6106","0,7263"
23/04/2014,"0,7286","0,6895","0,7677"
09/05/2014,"0,7236","0,6886","0,7586"
25/05/2014,"0,7002","0,6425","0,7579"
10/06/2014,"0,6659","0,6066","0,7251"
26/06/2014,"0,6421","0,5885","0,6956"
12/07/2014,"0,6414","0,6089","0,6739"
28/07/2014,"0,5594","0,4977","0,6211"
13/08/2014,"0,5143","0,4394","0,5893"
29/08/2014,"0,4491","0,3494","0,5488"
14/09/2014,"0,4605","0,377","0,5441"
30/09/2014,"0,4254","0,3451","0,5057"
16/10/2014,"0,4427","0,3726","0,5128"
01/11/2014,"0,3596","0,2615","0,4577"
17/11/2014,"0,3549","0,2892","0,4207"
03/12/2014,"0,4068","0,3417","0,4719"
